hex_id,lat,lng,district,ndvi,ndvi_trend_3y,lst_c,pop_density,built_density,road_density,dist_road_m,impervious,elevation_m,landuse,structural_component,behavioural_component,eco_risk_true,high_risk_true,rep_count,rep_sev_mean,rep_sev_max,rep_trust_sum,rep_verified_share,rep_uniq_users,rep_behav_share,rep_late_share
H00555,43.196756756756784,77.07242713665707,Медеу,0.56,-0.001,18.6,2473.0,0.048,0.202,327.0,0.028,1638.0,Парк/сквер,-4.304,-1.43,0.338,0,1.0,1.0,1.0,0.15,0.0,1.0,1.0,0.0
H00556,43.196756756756784,77.07992526836622,Медеу,0.532,0.01,23.1,3152.0,0.045,0.201,316.0,0.02,1681.0,Парк/сквер,-3.81,0.833,2.442,0,24.0,2.625,5.0,11.664,0.5833333333333334,23.0,0.875,0.7916666666666666
H00557,43.196756756756784,77.08742340007538,Медеу,0.544,0.009,19.3,3175.0,0.043,0.201,267.0,0.02,1700.0,Транспорт,-4.162,-0.214,2.77,0,2.0,1.0,1.0,1.2189999999999999,0.5,2.0,0.5,0.5
H00558,43.196756756756784,77.09492153178454,Медеу,0.495,0.011,20.6,2732.0,0.042,0.202,365.0,0.02,1670.0,Коммерческая,-4.075,-0.436,2.691,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00559,43.201486486486516,76.78374906585458,Алмалы,0.363,-0.019,23.8,5279.0,0.082,0.275,311.0,0.082,1317.0,Коммерческая,-1.292,-2.126,2.848,0,4.0,2.5,3.0,1.88,0.5,4.0,1.0,0.75
H00560,43.201486486486516,76.79124719756373,Алмалы,0.406,0.02,24.5,3750.0,0.098,0.286,350.0,0.12,1322.0,Транспорт,-2.637,-0.209,3.681,0,2.0,4.0,4.0,0.473,0.0,2.0,1.0,1.0
H00561,43.201486486486516,76.79874532927289,Алмалы,0.394,-0.013,24.2,5648.0,0.118,0.3,332.0,0.166,1362.0,Парк/сквер,-1.411,-0.677,3.866,0,1.0,1.0,1.0,0.573,1.0,1.0,1.0,0.0
H00562,43.201486486486516,76.80624346098205,Алмалы,0.421,-0.014,23.5,5717.0,0.143,0.317,305.0,0.107,1361.0,Жилая,-1.606,-2.048,3.513,0,2.0,2.5,4.0,1.213,0.5,2.0,1.0,1.0
H00563,43.201486486486516,76.8137415926912,Алмалы,0.363,-0.008,25.7,5476.0,0.174,0.338,267.0,0.125,1368.0,Жилая,-0.738,-1.123,2.454,0,1.0,4.0,4.0,0.309,0.0,1.0,1.0,1.0
H00564,43.201486486486516,76.82123972440036,Алмалы,0.378,0.001,25.8,5454.0,0.209,0.362,243.0,0.158,1361.0,Парк/сквер,-0.795,-0.2,5.362,0,4.0,3.75,5.0,2.509,0.75,4.0,1.0,0.75
H00565,43.201486486486516,76.82873785610951,Алмалы,0.349,0.005,26.2,7723.0,0.249,0.389,276.0,0.226,1352.0,Пустырь,-0.447,-1.049,4.734,0,4.0,3.25,4.0,2.715,0.5,4.0,0.75,1.0
H00566,43.201486486486516,76.83623598781867,Алмалы,0.418,-0.031,26.6,8841.0,0.294,0.419,246.0,0.327,1385.0,Парк/сквер,0.581,-1.112,5.517,0,3.0,3.3333333333333335,4.0,1.037,0.6666666666666666,3.0,0.6666666666666666,1.0
H00567,43.201486486486516,76.84373411952782,Алмалы,0.351,-0.049,27.4,9916.0,0.341,0.45,262.0,0.254,1395.0,Парк/сквер,1.644,-1.195,5.547,0,4.0,4.5,5.0,1.903,0.25,4.0,1.0,0.75
H00568,43.201486486486516,76.85123225123698,Алмалы,0.334,-0.03,27.1,7886.0,0.39,0.482,224.0,0.3,1425.0,Жилая,1.642,-0.543,6.327,0,8.0,4.125,5.0,3.945,0.625,8.0,0.875,0.875
H00569,43.201486486486516,76.85873038294613,Алмалы,0.365,-0.043,28.2,9348.0,0.438,0.514,239.0,0.314,1429.0,Транспорт,2.033,-1.166,5.95,0,8.0,3.5,5.0,4.657,0.75,8.0,1.0,0.625
H00570,43.201486486486516,76.86622851465529,Алмалы,0.271,-0.027,29.3,11450.0,0.485,0.544,293.0,0.402,1417.0,Жилая,2.639,0.076,6.906,1,8.0,4.0,5.0,4.332,0.125,8.0,0.875,0.625
H00571,43.201486486486516,76.87372664636445,Алмалы,0.277,-0.035,31.4,11496.0,0.529,0.571,161.0,0.422,1445.0,Жилая,3.824,-0.672,6.865,1,9.0,4.444444444444445,5.0,4.93,0.8888888888888888,9.0,0.7777777777777778,0.6666666666666666
H00572,43.201486486486516,76.8812247780736,Бостандык,0.231,-0.054,31.4,12868.0,0.567,0.595,181.0,0.503,1412.0,Транспорт,4.95,0.626,7.11,1,59.0,4.101694915254237,5.0,32.491,0.6949152542372882,55.0,0.7627118644067796,0.6440677966101694
H00573,43.201486486486516,76.88872290978276,Бостандык,0.252,-0.025,34.0,12379.0,0.598,0.613,223.0,0.546,1434.0,Жилая,4.356,-0.451,8.506,1,12.0,4.583333333333333,5.0,6.665,0.6666666666666666,12.0,0.8333333333333334,0.75
H00574,43.201486486486516,76.89622104149191,Бостандык,0.283,-0.052,33.0,12936.0,0.62,0.626,164.0,0.609,1471.0,Жилая,5.193,-0.534,7.792,1,17.0,3.8823529411764706,5.0,9.413,0.7058823529411765,17.0,0.8235294117647058,0.6470588235294118
H00575,43.201486486486516,76.90371917320107,Бостандык,0.235,-0.022,31.8,12864.0,0.633,0.631,149.0,0.515,1483.0,Транспорт,4.465,1.538,8.855,1,118.0,4.491525423728813,5.0,62.542,0.6186440677966102,100.0,0.864406779661017,0.6694915254237288
H00576,43.201486486486516,76.91121730491022,Бостандык,0.264,-0.034,29.0,12449.0,0.636,0.631,134.0,0.522,1462.0,Жилая,4.316,-0.915,7.081,1,14.0,3.7857142857142856,5.0,7.277,0.6428571428571429,14.0,0.6428571428571429,0.42857142857142855
H00577,43.201486486486516,76.91871543661938,Бостандык,0.269,-0.05,30.5,11814.0,0.629,0.623,187.0,0.438,1445.0,Коммерческая,4.46,-0.417,7.315,1,11.0,4.545454545454546,5.0,6.237,0.6363636363636364,11.0,1.0,0.2727272727272727
H00578,43.201486486486516,76.92621356832854,Бостандык,0.303,-0.038,30.3,10873.0,0.612,0.609,150.0,0.523,1531.0,Парк/сквер,4.139,0.251,7.105,1,29.0,4.0344827586206895,5.0,14.238,0.7241379310344828,27.0,0.6896551724137931,0.6551724137931034
H00579,43.201486486486516,76.93371170003769,Бостандык,0.247,-0.008,29.3,9503.0,0.585,0.59,238.0,0.484,1502.0,Жилая,3.056,-1.217,5.39,0,16.0,3.5,5.0,8.352,0.75,16.0,0.875,0.375
H00580,43.201486486486516,76.94120983174685,Бостандык,0.319,-0.004,31.1,10761.0,0.552,0.566,234.0,0.493,1463.0,Транспорт,2.546,0.758,7.335,1,47.0,3.8297872340425534,5.0,22.339,0.6382978723404256,38.0,0.9148936170212766,0.6382978723404256
H00581,43.201486486486516,76.948707963456,Бостандык,0.378,0.001,29.1,10190.0,0.512,0.538,105.0,0.422,1492.0,Жилая,1.903,-0.51,5.554,0,9.0,3.4444444444444446,5.0,4.183,0.3333333333333333,9.0,0.8888888888888888,0.5555555555555556
H00582,43.201486486486516,76.95620609516516,Медеу,0.323,-0.047,29.6,10558.0,0.468,0.507,197.0,0.403,1545.0,Транспорт,3.156,0.228,7.019,1,22.0,4.045454545454546,5.0,13.001,0.5909090909090909,22.0,0.7727272727272727,0.7727272727272727
H00583,43.201486486486516,76.96370422687431,Медеу,0.353,-0.021,29.5,9608.0,0.421,0.475,218.0,0.336,1530.0,Жилая,1.774,-0.143,5.998,0,13.0,4.0,5.0,6.638,0.6923076923076923,13.0,0.7692307692307693,0.8461538461538461
H00584,43.201486486486516,76.97120235858347,Медеу,0.282,-0.017,26.6,8434.0,0.373,0.442,210.0,0.232,1557.0,Парк/сквер,1.464,-1.165,4.37,0,12.0,2.6666666666666665,5.0,6.7700000000000005,0.5,12.0,0.8333333333333334,0.6666666666666666
H00585,43.201486486486516,76.97870049029262,Медеу,0.356,-0.005,26.8,7818.0,0.327,0.41,239.0,0.235,1546.0,Жилая,0.289,-1.275,4.283,0,2.0,4.0,4.0,1.242,0.5,2.0,1.0,0.5
H00586,43.201486486486516,76.98619862200178,Медеу,0.397,-0.007,25.6,8070.0,0.283,0.379,286.0,0.182,1550.0,Транспорт,-0.601,-0.739,4.537,0,4.0,4.75,5.0,1.724,1.0,4.0,1.0,0.5
H00587,43.201486486486516,76.99369675371094,Медеу,0.403,0.01,27.5,7043.0,0.242,0.35,209.0,0.238,1566.0,Коммерческая,-0.582,-0.64,4.565,0,3.0,2.0,3.0,0.877,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666
H00588,43.201486486486516,77.00119488542009,Медеу,0.472,0.015,23.5,6824.0,0.205,0.324,293.0,0.068,1570.0,Парк/сквер,-2.654,-0.549,2.598,0,2.0,3.0,4.0,1.4689999999999999,1.0,2.0,1.0,0.5
H00589,43.201486486486516,77.00869301712925,Медеу,0.471,0.012,23.3,7119.0,0.172,0.3,274.0,0.047,1610.0,Парк/сквер,-2.658,-1.223,2.766,0,2.0,1.5,2.0,0.8220000000000001,1.0,2.0,1.0,0.5
H00590,43.201486486486516,77.0161911488384,Медеу,0.492,0.004,25.1,6280.0,0.144,0.28,297.0,0.11,1618.0,Жилая,-2.434,-0.057,3.152,0,1.0,1.0,1.0,0.734,1.0,1.0,1.0,1.0
H00591,43.201486486486516,77.02368928054756,Медеу,0.496,-0.039,22.8,6043.0,0.12,0.262,356.0,0.048,1575.0,Парк/сквер,-2.017,0.528,4.55,0,17.0,3.0,5.0,7.014,0.47058823529411764,16.0,0.8235294117647058,0.7058823529411765
H00592,43.201486486486516,77.03118741225671,Медеу,0.443,0.005,21.7,4064.0,0.101,0.247,335.0,0.026,1628.0,Парк/сквер,-3.001,-1.443,2.751,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00593,43.201486486486516,77.03868554396587,Медеу,0.476,0.004,21.8,3875.0,0.085,0.235,250.0,0.071,1585.0,Жилая,-2.832,-0.013,3.896,0,6.0,3.6666666666666665,5.0,3.262,0.6666666666666666,6.0,0.8333333333333334,0.5
H00594,43.201486486486516,77.04618367567502,Медеу,0.587,-0.01,22.2,4153.0,0.073,0.225,284.0,0.02,1593.0,Жилая,-3.56,-1.782,1.571,0,2.0,1.0,1.0,0.603,0.5,2.0,0.0,0.5
H00595,43.201486486486516,77.05368180738418,Медеу,0.554,0.011,22.7,4236.0,0.063,0.217,256.0,0.062,1640.0,Жилая,-3.642,-0.111,2.769,0,3.0,2.0,3.0,1.6640000000000001,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666
H00596,43.201486486486516,77.06117993909334,Медеу,0.524,0.015,21.8,3870.0,0.056,0.212,365.0,0.07,1621.0,Парк/сквер,-4.082,-0.344,1.357,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00597,43.201486486486516,77.06867807080249,Медеу,0.532,0.01,21.8,3876.0,0.051,0.208,356.0,0.041,1623.0,Парк/сквер,-4.066,0.71,1.923,0,26.0,2.423076923076923,5.0,14.138,0.5,25.0,0.8846153846153846,0.5384615384615384
H00598,43.201486486486516,77.07617620251165,Медеу,0.531,0.021,20.2,1981.0,0.048,0.206,353.0,0.02,1630.0,Парк/сквер,-4.612,-0.988,1.787,0,2.0,2.0,3.0,0.8350000000000001,0.5,2.0,1.0,0.0
H00599,43.201486486486516,77.0836743342208,Медеу,0.58,0.006,22.5,2989.0,0.045,0.205,328.0,0.02,1659.0,Парк/сквер,-4.202,-0.596,2.848,0,1.0,2.0,2.0,0.758,1.0,1.0,0.0,1.0
H00600,43.201486486486516,77.09117246592996,Медеу,0.583,-0.005,21.5,1897.0,0.043,0.205,306.0,0.02,1672.0,Парк/сквер,-3.937,-0.13,3.0,0,2.0,2.5,3.0,1.096,0.5,2.0,1.0,0.5
H00601,43.201486486486516,77.09867059763911,Медеу,0.536,-0.006,18.2,2430.0,0.042,0.206,333.0,0.06,1693.0,Транспорт,-3.999,-1.13,2.612,0,3.0,2.0,2.0,1.475,1.0,3.0,1.0,1.0
H00602,43.20621621621625,76.78,Алмалы,0.376,0.007,24.5,3397.0,0.079,0.273,217.0,0.024,1271.0,Промышленная,-1.772,-0.764,3.581,0,2.0,1.5,2.0,1.017,1.0,2.0,1.0,0.0
H00603,43.20621621621625,76.78749813170916,Алмалы,0.342,-0.02,22.3,4791.0,0.094,0.284,282.0,0.094,1315.0,Жилая,-1.085,0.507,4.384,0,25.0,3.32,5.0,13.4,0.64,24.0,0.92,0.68
H00604,43.20621621621625,76.79499626341831,Алмалы,0.397,-0.002,24.0,5850.0,0.113,0.297,309.0,0.067,1329.0,Пустырь,-1.908,0.889,5.441,0,28.0,2.892857142857143,5.0,12.362,0.6071428571428571,25.0,0.8571428571428571,0.6428571428571429
H00605,43.20621621621625,76.80249439512747,Алмалы,0.346,0.004,24.6,5740.0,0.137,0.313,293.0,0.119,1305.0,Жилая,-1.317,0.156,3.74,0,4.0,3.75,5.0,1.8940000000000001,0.75,4.0,1.0,0.75
H00606,43.20621621621625,76.80999252683662,Алмалы,0.357,-0.003,24.4,4907.0,0.167,0.333,248.0,0.159,1366.0,Жилая,-0.865,-0.169,4.502,0,1.0,4.0,4.0,0.664,0.0,1.0,0.0,1.0
H00607,43.20621621621625,76.81749065854578,Алмалы,0.292,-0.008,26.1,6769.0,0.202,0.357,263.0,0.242,1352.0,Парк/сквер,0.249,-0.914,4.459,0,3.0,1.3333333333333333,2.0,1.551,0.6666666666666666,3.0,0.3333333333333333,0.6666666666666666
H00608,43.20621621621625,76.82498879025493,Алмалы,0.306,-0.011,25.7,7389.0,0.242,0.385,261.0,0.168,1344.0,Коммерческая,0.175,0.308,5.755,0,17.0,3.6470588235294117,5.0,8.612,0.7647058823529411,17.0,0.7647058823529411,0.7058823529411765
H00609,43.20621621621625,76.83248692196409,Алмалы,0.355,-0.036,25.7,9322.0,0.287,0.415,262.0,0.18,1359.0,Парк/сквер,0.659,0.198,5.971,0,11.0,3.1818181818181817,5.0,6.782,0.8181818181818182,11.0,0.8181818181818182,0.5454545454545454
H00610,43.20621621621625,76.83998505367325,Алмалы,0.32,-0.014,25.7,9418.0,0.336,0.448,262.0,0.306,1360.0,Пустырь,0.797,1.906,6.501,1,82.0,4.121951219512195,5.0,43.191,0.5975609756097561,78.0,0.8536585365853658,0.6951219512195121
H00611,43.20621621621625,76.8474831853824,Алмалы,0.329,0.007,28.2,9776.0,0.387,0.483,224.0,0.321,1334.0,Жилая,0.845,0.214,5.441,0,14.0,3.7857142857142856,5.0,7.479,0.8571428571428571,13.0,0.9285714285714286,0.5
H00612,43.20621621621625,76.85498131709156,Алмалы,0.369,-0.007,28.6,11323.0,0.44,0.518,102.0,0.378,1393.0,Коммерческая,1.796,0.997,6.38,0,56.0,3.6964285714285716,5.0,28.64,0.5178571428571429,50.0,0.875,0.625
H00613,43.20621621621625,76.86247944880071,Алмалы,0.225,-0.032,29.0,10987.0,0.492,0.552,244.0,0.378,1384.0,Транспорт,3.25,-1.901,5.645,0,6.0,3.8333333333333335,5.0,3.2279999999999998,0.6666666666666666,6.0,0.6666666666666666,0.5
H00614,43.20621621621625,76.86997758050987,Алмалы,0.283,-0.023,29.2,13016.0,0.541,0.584,206.0,0.41,1418.0,Жилая,2.986,-0.68,6.084,0,5.0,2.8,4.0,2.091,0.6,5.0,0.6,0.4
H00615,43.20621621621625,76.87747571221902,Бостандык,0.237,-0.056,30.0,11331.0,0.586,0.612,135.0,0.481,1432.0,Жилая,4.988,-0.286,7.769,1,12.0,4.916666666666667,5.0,6.812,0.5833333333333334,12.0,0.8333333333333334,0.6666666666666666
H00616,43.20621621621625,76.88497384392818,Бостандык,0.151,-0.041,33.7,12319.0,0.624,0.636,115.0,0.506,1407.0,Транспорт,5.982,-1.815,7.309,1,12.0,4.75,5.0,5.774,0.5833333333333334,11.0,0.9166666666666666,0.5833333333333334
H00617,43.20621621621625,76.89247197563733,Бостандык,0.247,-0.048,33.3,13394.0,0.655,0.654,214.0,0.488,1424.0,Жилая,5.041,0.314,7.66,1,34.0,4.176470588235294,5.0,19.774,0.5882352941176471,32.0,0.8235294117647058,0.5588235294117647
H00618,43.20621621621625,76.89997010734649,Бостандык,0.185,-0.038,33.1,12149.0,0.675,0.666,91.0,0.551,1408.0,Транспорт,5.967,-0.593,8.211,1,9.0,4.555555555555555,5.0,5.732,0.3333333333333333,8.0,0.8888888888888888,0.7777777777777778
H00619,43.20621621621625,76.90746823905565,Бостандык,0.203,-0.049,33.6,13029.0,0.685,0.67,171.0,0.564,1456.0,Жилая,5.933,-0.319,7.703,1,16.0,4.375,5.0,8.192,0.5625,14.0,0.8125,0.625
H00620,43.20621621621625,76.9149663707648,Бостандык,0.182,-0.031,31.8,13829.0,0.684,0.667,130.0,0.53,1418.0,Промышленная,5.448,-0.093,6.916,1,13.0,3.923076923076923,5.0,7.433,0.6923076923076923,12.0,0.6923076923076923,0.6923076923076923
H00621,43.20621621621625,76.92246450247396,Бостандык,0.267,-0.093,32.2,12961.0,0.672,0.656,145.0,0.506,1456.0,Транспорт,6.371,-0.604,7.798,1,12.0,4.583333333333333,5.0,6.683,0.75,10.0,0.9166666666666666,0.5
H00622,43.20621621621625,76.92996263418311,Бостандык,0.239,-0.042,31.7,12337.0,0.649,0.639,113.0,0.551,1475.0,Жилая,5.277,-0.558,7.371,1,10.0,3.9,5.0,4.696,0.8,10.0,0.9,0.5
H00623,43.20621621621625,76.93746076589227,Бостандык,0.26,-0.039,31.1,11229.0,0.617,0.616,126.0,0.43,1475.0,Жилая,4.499,0.65,8.359,1,48.0,4.541666666666667,5.0,25.996,0.6458333333333334,41.0,0.875,0.6041666666666666
H00624,43.20621621621625,76.94495889760142,Бостандык,0.325,-0.01,29.2,10951.0,0.578,0.588,89.0,0.411,1499.0,Жилая,2.922,0.005,7.265,1,8.0,4.0,5.0,4.399,0.625,8.0,0.875,0.625
H00625,43.20621621621625,76.95245702931058,Бостандык,0.208,-0.031,31.9,9829.0,0.533,0.556,200.0,0.411,1503.0,Транспорт,4.125,-1.903,6.537,1,14.0,3.642857142857143,5.0,6.481,0.5,14.0,0.7142857142857143,0.7857142857142857
H00626,43.20621621621625,76.95995516101974,Медеу,0.255,-0.024,29.6,8749.0,0.483,0.522,111.0,0.383,1528.0,Жилая,3.425,0.26,7.457,1,28.0,4.285714285714286,5.0,14.811,0.6071428571428571,25.0,0.8571428571428571,0.6428571428571429
H00627,43.20621621621625,76.96745329272889,Медеу,0.301,-0.03,29.6,8910.0,0.432,0.486,217.0,0.354,1522.0,Транспорт,2.514,-1.329,5.259,0,4.0,2.5,3.0,1.154,0.5,4.0,0.75,0.75
H00628,43.20621621621625,76.97495142443805,Медеу,0.355,-0.013,26.3,7678.0,0.381,0.451,212.0,0.344,1517.0,Транспорт,1.019,-0.5,5.362,0,1.0,3.0,3.0,0.886,0.0,1.0,1.0,1.0
H00629,43.20621621621625,76.9824495561472,Медеу,0.352,-0.012,27.4,7230.0,0.331,0.416,243.0,0.27,1512.0,Парк/сквер,0.675,-1.221,4.361,0,3.0,2.6666666666666665,4.0,1.763,1.0,3.0,0.6666666666666666,1.0
H00630,43.20621621621625,76.98994768785636,Медеу,0.436,-0.011,25.4,7003.0,0.285,0.384,300.0,0.26,1529.0,Парк/сквер,-0.688,-0.419,2.958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00631,43.20621621621625,76.99744581956551,Медеу,0.376,0.012,24.0,7543.0,0.242,0.353,303.0,0.213,1540.0,Промышленная,-1.302,0.023,3.149,0,2.0,3.5,4.0,1.023,1.0,2.0,1.0,0.0
H00632,43.20621621621625,77.00494395127467,Медеу,0.381,-0.033,24.8,7718.0,0.204,0.326,339.0,0.188,1572.0,Парк/сквер,-0.344,-0.192,4.555,0,1.0,3.0,3.0,0.541,1.0,1.0,1.0,1.0
H00633,43.20621621621625,77.01244208298382,Медеу,0.424,0.005,22.5,6408.0,0.17,0.302,265.0,0.14,1576.0,Парк/сквер,-1.962,-0.914,2.734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00634,43.20621621621625,77.01994021469298,Медеу,0.486,0.002,23.4,6965.0,0.142,0.281,264.0,0.081,1556.0,Коммерческая,-2.477,-0.235,3.792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00635,43.20621621621625,77.02743834640214,Медеу,0.53,-0.0,20.3,6013.0,0.118,0.263,256.0,0.055,1572.0,Парк/сквер,-3.259,-0.109,3.009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00636,43.20621621621625,77.03493647811129,Медеу,0.52,-0.006,21.2,4246.0,0.099,0.248,256.0,0.07,1593.0,Жилая,-2.944,-0.292,2.224,0,3.0,2.3333333333333335,3.0,1.357,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666
H00637,43.20621621621625,77.04243460982045,Медеу,0.442,0.033,23.6,5255.0,0.083,0.236,328.0,0.136,1577.0,Жилая,-3.317,-0.316,3.012,0,1.0,1.0,1.0,0.962,1.0,1.0,1.0,0.0
H00638,43.20621621621625,77.0499327415296,Медеу,0.466,0.006,19.7,4033.0,0.071,0.227,290.0,0.02,1583.0,Коммерческая,-3.416,-0.43,3.748,0,2.0,3.5,4.0,0.53,1.0,2.0,1.0,1.0
H00639,43.20621621621625,77.05743087323876,Медеу,0.5,0.0,23.1,4765.0,0.062,0.219,314.0,0.032,1633.0,Парк/сквер,-3.172,-0.012,2.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00640,43.20621621621625,77.06492900494791,Медеу,0.543,0.023,21.0,4001.0,0.056,0.214,351.0,0.077,1623.0,Транспорт,-4.489,-0.243,3.211,0,1.0,3.0,3.0,0.39,0.0,1.0,0.0,1.0
H00641,43.20621621621625,77.07242713665707,Медеу,0.474,-0.005,21.0,3621.0,0.051,0.211,272.0,0.026,1601.0,Жилая,-2.99,-0.584,2.629,0,1.0,1.0,1.0,0.33,1.0,1.0,0.0,0.0
H00642,43.20621621621625,77.07992526836622,Медеу,0.522,0.019,22.0,854.0,0.047,0.209,294.0,0.02,1623.0,Транспорт,-4.015,0.407,3.53,0,9.0,3.7777777777777777,5.0,3.16,0.4444444444444444,9.0,0.6666666666666666,0.6666666666666666
H00643,43.20621621621625,77.08742340007538,Медеу,0.647,0.01,18.5,3164.0,0.045,0.209,300.0,0.02,1654.0,Промышленная,-5.225,-0.692,1.091,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00644,43.20621621621625,77.09492153178454,Медеу,0.517,0.006,23.1,2967.0,0.043,0.209,335.0,0.051,1673.0,Транспорт,-3.598,-1.607,1.742,0,2.0,1.5,2.0,0.8900000000000001,0.0,2.0,0.5,1.0
H00645,43.21094594594598,76.78374906585458,Алмалы,0.387,0.021,23.4,4830.0,0.09,0.281,283.0,0.02,1273.0,Промышленная,-2.627,0.474,3.253,0,14.0,3.2857142857142856,5.0,6.441,0.5714285714285714,14.0,1.0,0.6428571428571429
H00646,43.21094594594598,76.79124719756373,Алмалы,0.389,-0.032,25.2,4495.0,0.108,0.293,313.0,0.128,1317.0,Транспорт,-0.771,-0.95,3.645,0,2.0,3.5,4.0,1.258,1.0,2.0,1.0,0.5
H00647,43.21094594594598,76.79874532927289,Алмалы,0.318,-0.032,22.8,5963.0,0.131,0.309,252.0,0.173,1305.0,Парк/сквер,-0.063,0.375,5.233,0,19.0,2.9473684210526314,5.0,10.44,0.5789473684210527,19.0,0.9473684210526315,0.47368421052631576
H00648,43.21094594594598,76.80624346098205,Алмалы,0.314,-0.02,23.1,5847.0,0.159,0.329,307.0,0.165,1323.0,Парк/сквер,-0.49,-1.477,3.73,0,1.0,4.0,4.0,0.523,1.0,1.0,1.0,1.0
H00649,43.21094594594598,76.8137415926912,Алмалы,0.416,0.02,23.8,7030.0,0.193,0.352,203.0,0.145,1318.0,Пустырь,-1.799,-0.334,3.847,0,2.0,3.0,4.0,1.907,0.5,2.0,1.0,0.0
H00650,43.21094594594598,76.82123972440036,Алмалы,0.269,0.006,27.7,7084.0,0.232,0.379,224.0,0.126,1327.0,Промышленная,0.253,0.954,5.589,0,32.0,3.53125,5.0,16.582,0.59375,29.0,0.875,0.75
H00651,43.21094594594598,76.82873785610951,Алмалы,0.377,0.001,25.8,8494.0,0.278,0.41,269.0,0.201,1344.0,Коммерческая,-0.551,-0.231,3.873,0,2.0,4.0,5.0,0.484,0.0,2.0,0.5,1.0
H00652,43.21094594594598,76.83623598781867,Алмалы,0.308,-0.004,26.3,9405.0,0.327,0.444,191.0,0.326,1369.0,Транспорт,0.995,0.098,5.358,0,7.0,3.5714285714285716,5.0,2.341,0.14285714285714285,7.0,1.0,0.42857142857142855
H00653,43.21094594594598,76.84373411952782,Алмалы,0.308,-0.027,27.2,9988.0,0.381,0.48,200.0,0.294,1333.0,Парк/сквер,1.829,0.153,5.571,0,9.0,3.5555555555555554,5.0,4.625,0.6666666666666666,9.0,0.7777777777777778,0.5555555555555556
H00654,43.21094594594598,76.85123225123698,Алмалы,0.315,-0.063,28.3,11676.0,0.436,0.517,197.0,0.346,1375.0,Транспорт,3.234,0.967,8.196,1,60.0,4.283333333333333,5.0,31.183,0.7833333333333333,54.0,0.9,0.7833333333333333
H00655,43.21094594594598,76.85873038294613,Алмалы,0.279,-0.04,30.2,11116.0,0.492,0.555,190.0,0.303,1395.0,Коммерческая,3.251,0.15,6.208,0,20.0,3.75,5.0,10.626,0.35,20.0,0.85,0.9
H00656,43.21094594594598,76.86622851465529,Алмалы,0.238,-0.043,32.4,10919.0,0.547,0.591,130.0,0.436,1377.0,Коммерческая,4.697,0.986,8.184,1,54.0,4.2592592592592595,5.0,25.881,0.5185185185185185,49.0,0.8148148148148148,0.7222222222222222
H00657,43.21094594594598,76.87372664636445,Алмалы,0.255,-0.042,30.7,14542.0,0.598,0.624,165.0,0.502,1377.0,Жилая,4.534,-1.102,6.527,1,14.0,4.142857142857143,5.0,8.482,0.5714285714285714,14.0,0.9285714285714286,0.9285714285714286
H00658,43.21094594594598,76.8812247780736,Бостандык,0.223,-0.013,32.3,12620.0,0.644,0.653,213.0,0.561,1410.0,Транспорт,4.274,-0.571,8.054,1,11.0,4.363636363636363,5.0,5.526,0.6363636363636364,11.0,1.0,0.5454545454545454
H00659,43.21094594594598,76.88872290978276,Бостандык,0.254,-0.028,32.2,13777.0,0.681,0.677,72.0,0.61,1410.0,Транспорт,5.248,0.278,7.53,1,39.0,4.487179487179487,5.0,19.871,0.48717948717948717,38.0,0.8461538461538461,0.5128205128205128
H00660,43.21094594594598,76.89622104149191,Бостандык,0.245,-0.036,35.2,13899.0,0.71,0.694,89.0,0.63,1437.0,Жилая,6.015,-1.326,7.092,1,23.0,3.5217391304347827,5.0,14.043,0.5652173913043478,23.0,0.8260869565217391,0.6086956521739131
H00661,43.21094594594598,76.90371917320107,Бостандык,0.239,-0.05,32.0,14621.0,0.727,0.704,136.0,0.605,1449.0,Жилая,5.864,-1.429,7.301,1,14.0,4.214285714285714,5.0,6.648000000000001,0.6428571428571429,14.0,1.0,0.6428571428571429
H00662,43.21094594594598,76.91121730491022,Бостандык,0.193,-0.03,32.8,13096.0,0.733,0.706,93.0,0.492,1426.0,Промышленная,5.684,-1.287,7.323,1,12.0,4.833333333333333,5.0,5.948,0.5833333333333334,12.0,0.75,0.6666666666666666
H00663,43.21094594594598,76.91871543661938,Бостандык,0.179,-0.05,31.9,13342.0,0.727,0.699,126.0,0.507,1429.0,Жилая,6.12,0.228,8.766,1,44.0,4.454545454545454,5.0,20.903,0.45454545454545453,38.0,0.9545454545454546,0.7272727272727273
